as_of_date,release_revision,revision_fingerprint,source_list,source_reported_registry_status,coverage_class,record_count
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Dissolution Waiver Issued","unkeyed",440
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Dissolved","keyed",59479
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Dissolved","unkeyed",5636
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Exempt - Dissolution Pending","keyed",92
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Exempt - Dissolution Pending","unkeyed",131
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Exempt - Dissolution Waiver Issued","keyed",139
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Exempt - Dissolution Waiver Issued","unkeyed",696
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Exempt - Dissolved","keyed",20571
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Exempt - Dissolved","unkeyed",2475
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Exempt - Withdrawn","keyed",7
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Exempt - Withdrawn","unkeyed",9
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Never Registered - Diss. Waiver Issued","keyed",15
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Never Registered - Diss. Waiver Issued","unkeyed",2449
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Never Registered - Dissolution Pending","keyed",607
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Never Registered - Dissolution Pending","unkeyed",509
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Never Registered - Dissolved","keyed",6601
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Never Registered - Dissolved","unkeyed",41744
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Never Registered - Withdrawn","unkeyed",474
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Trust Closed","keyed",248
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Trust Closed","unkeyed",1
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Withdrawn","keyed",1826
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-not-operating","Withdrawn","unkeyed",2113
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-undetermined-status","Enforcement Action Pending","keyed",22
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-undetermined-status","Enforcement Action Pending","unkeyed",1
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-undetermined-status","Not Registered","keyed",8
"2026-08-19",1,"903ca83cb4a17942e3daa5e02eb062a01c55609f888482a99b21c6036ead8876","charities-undetermined-status","Not Registered","unkeyed",127632
